"","Animal_ID","Species_ab","Protein","U_mL","ave_neg_U_mL","Positive"
"190",440,"Mouse","GP",NA,28.2033597233333,FALSE
"191",441,"Mouse","GP",NA,28.2033597233333,FALSE
"192",442,"Mouse","GP",509.5108693,28.2033597233333,TRUE
"193",443,"Mouse","GP",1.532969179,28.2033597233333,FALSE
"194",444,"Mouse","GP",877.0604509,28.2033597233333,TRUE
"195",445,"Mouse","GP",23.77942325,28.2033597233333,FALSE
"196",446,"Mouse","GP",472.9452481,28.2033597233333,TRUE
"197",447,"Mouse","GP",97.1130524,28.2033597233333,TRUE
"198",449,"Mouse","GP",22.55773123,28.2033597233333,FALSE
"199",450,"Mouse","GP",37.03892359,28.2033597233333,TRUE
"200",452,"Mouse","GP",5.409251498,28.2033597233333,FALSE
"201",453,"Mouse","GP",3.60675834,28.2033597233333,FALSE
"202",454,"Mouse","GP",5.409251498,28.2033597233333,FALSE
"203",455,"Mouse","GP",88.46008516,28.2033597233333,TRUE
"204",456,"Mouse","GP",19.37722612,28.2033597233333,FALSE
"205",459,"Mouse","GP",1046.555603,28.2033597233333,TRUE
"206",461,"Mouse","GP",28.1688223,28.2033597233333,FALSE
"207",462,"Mouse","GP",21.79772773,28.2033597233333,FALSE
"208",463,"Mouse","GP",16.77291026,28.2033597233333,FALSE
"209",464,"Mouse","GP",130.05469,28.2033597233333,TRUE
"210",465,"Mouse","GP",NA,28.2033597233333,FALSE
"211",466,"Mouse","GP",36.95422697,28.2033597233333,TRUE
"212",467,"Mouse","GP",15.95008207,28.2033597233333,FALSE
"213",468,"Mouse","GP",NA,28.2033597233333,FALSE
"214",469,"Mouse","GP",15.74258538,28.2033597233333,FALSE
"215",470,"Mouse","GP",NA,28.2033597233333,FALSE
"216",471,"Mouse","GP",NA,28.2033597233333,FALSE
"217",472,"Mouse","GP",NA,28.2033597233333,FALSE
"218",473,"Mouse","GP",NA,28.2033597233333,FALSE
"219",474,"Mouse","GP",14.69351105,28.2033597233333,FALSE
"220",476,"Mouse","GP",10.25215245,28.2033597233333,FALSE
"221",477,"Mouse","GP",9.421013651,28.2033597233333,FALSE
"222",478,"Mouse","GP",4.83209893,28.2033597233333,FALSE
"223",479,"Mouse","GP",156.2290572,28.2033597233333,TRUE
"224",485,"Mouse","GP",NA,28.2033597233333,FALSE
"225",498,"Mouse","GP",NA,28.2033597233333,FALSE
"226",499,"Mouse","GP",10.48599603,28.2033597233333,FALSE
"227",509,"Mouse","GP",21.41523007,28.2033597233333,FALSE
"228",512,"Mouse","GP",11.97170164,28.2033597233333,FALSE
"229",528,"Mouse","GP",15.32532854,28.2033597233333,FALSE
"230",529,"Mouse","GP",14.37478901,28.2033597233333,FALSE
"231",531,"Mouse","GP",4.978270555,28.2033597233333,FALSE
"232",532,"Mouse","GP",NA,28.2033597233333,FALSE
"233",209,"Mouse","GP",11.1787435,28.2033597233333,FALSE
"234",8,"Mouse","NP",4.493654729,45.8941407216667,FALSE
"235",17,"Mouse","NP",20.32359484,45.8941407216667,FALSE
"236",18,"Mouse","NP",1854.070697,45.8941407216667,TRUE
"237",19,"Mouse","NP",807.6331611,45.8941407216667,TRUE
"238",23,"Mouse","NP",20.32359484,45.8941407216667,FALSE
"239",27,"Mouse","NP",NA,45.8941407216667,FALSE
"240",30,"Mouse","NP",367.2341016,45.8941407216667,TRUE
"241",31,"Mouse","NP",17.46547079,45.8941407216667,FALSE
"242",32,"Mouse","NP",18.18048757,45.8941407216667,FALSE
"243",38,"Mouse","NP",NA,45.8941407216667,FALSE
"244",39,"Mouse","NP",NA,45.8941407216667,FALSE
"245",43,"Mouse","NP",7.884218561,45.8941407216667,FALSE
"246",51,"Mouse","NP",21.51309126,45.8941407216667,FALSE
"247",57,"Mouse","NP",261.027339,45.8941407216667,TRUE
"248",58,"Mouse","NP",415.4884126,45.8941407216667,TRUE
"249",63,"Mouse","NP",1373.98179,45.8941407216667,TRUE
"250",66,"Mouse","NP",2.290810266,45.8941407216667,FALSE
"251",67,"Mouse","NP",NA,45.8941407216667,FALSE
"252",68,"Mouse","NP",244.5941668,45.8941407216667,TRUE
"253",70,"Mouse","NP",NA,45.8941407216667,FALSE
