Animal_ID,Species_ab,Protein,U_mL
175,Mouse,NP,1438.610898
176,Mouse,NP,11.60587107
177,Mouse,NP,NA
178,Mouse,NP,NA
179,Mouse,NP,5.441780997
184,Mouse,NP,6.698873438
185,Mouse,NP,8.908631822
188,Mouse,NP,6.318111674
189,Mouse,NP,11.60587107
190,Mouse,NP,9.440263212
192,Mouse,NP,6.444699617
196,Mouse,NP,3.395897989
200,Mouse,NP,7.339920247
202,Mouse,NP,6.318111674
205,Mouse,NP,8.119181035
210,Mouse,NP,8.381233755
211,Mouse,NP,10.38029197
213,Mouse,NP,13.71287116
214,Mouse,NP,NA
217,Mouse,NP,NA
219,Mouse,NP,7.974399594
220,Mouse,NP,NA
221,Mouse,NP,NA
224,Mouse,NP,NA
225,Mouse,NP,NA
237,Mouse,NP,NA
238,Mouse,NP,NA
239,Mouse,NP,1160.854561
240,Mouse,NP,NA
241,Mouse,NP,NA
242,Mouse,NP,NA
243,Mouse,NP,NA
244,Mouse,NP,NA
245,Mouse,NP,211.669366
248,Mouse,NP,NA
253,Mouse,NP,NA
254,Mouse,NP,NA
257,Mouse,NP,NA
259,Mouse,NP,94.32261354
260,Mouse,NP,NA
261,Mouse,NP,NA
262,Mouse,NP,16.08427518
263,Mouse,NP,NA
264,Mouse,NP,NA
265,Mouse,NP,NA
266,Mouse,NP,NA
268,Mouse,NP,NA
269,Mouse,NP,NA
271,Mouse,NP,NA
272,Mouse,NP,40.75266917
275,Mouse,NP,NA
276,Mouse,NP,NA
277,Mouse,NP,NA
278,Mouse,NP,1623.734926
279,Mouse,NP,53.84141281
280,Mouse,NP,NA
284,Mouse,NP,NA
285,Mouse,NP,9.48752783
287,Mouse,NP,4.968331076
289,Mouse,NP,9.239962783
291,Mouse,NP,NA
292,Mouse,NP,NA
293,Mouse,NP,5.096195814
294,Mouse,NP,5.223884344
296,Mouse,NP,67.80578457
298,Mouse,NP,12.6808684
300,Mouse,NP,NA
301,Mouse,NP,1252.450635
302,Mouse,NP,4.067824365
303,Mouse,NP,5.351402015
305,Mouse,NP,8.992072808
307,Mouse,NP,3.808563817
308,Mouse,NP,NA
310,Mouse,NP,4.067824365
312,Mouse,NP,NA
314,Mouse,NP,NA
324,Mouse,NP,NA
326,Mouse,NP,NA
327,Mouse,NP,4.840284482
328,Mouse,NP,6.113187028
329,Mouse,NP,NA
330,Mouse,NP,5.8598618
331,Mouse,NP,4.583621458
332,Mouse,NP,2.495078703
342,Mouse,NP,3.938314977
347,Mouse,NP,1.687886223
348,Mouse,NP,NA
352,Mouse,NP,NA
353,Mouse,NP,3.286929076
360,Mouse,NP,NA
