Animal_ID,Date,Season,Village,House,Trap,Lat_Convert,Long_Convert(W),Long_Use,Genus_og,Genus_Cytb,Cytb_species,Sex,Age_wt,Weight_g,Length_mm,Tail_mm,Ear_mm,Right_foot_mm,Lactating,Embryos_num,Embryo_length_mm,F_reproduction,Ag_RDT,RDT_Score,U_mL_GP,Positive_GP,U_mL_NP,Positive_NP,IgG_Positive,Positive_AVL,Mean_conc_AVL,Stdev_conc_AVL,Positive_Liver,Mean_conc_Liver,Stdev_conc_Liver,Positive_Lung,Mean_conc_Lung,Stdev_conc_Lung,Positive_Kidney,Mean_conc_Kidney,Stdev_conc_Kidney,Positive_Spleen,Mean_conc_Spleen,Stdev_conc_Spleen,qPCR_Positive
44,14-Nov-18,Dry,Ngeihun,24,967,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,M,Adult,47.5,248,114,17,24,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
45,14-Nov-18,Dry,Ngeihun,6,1006,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,F,Adult,67.2,258,114,18,25,TRUE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,14-Nov-18,Dry,Ngeihun,19,328,8.1748,11.08528333,-11.08528333,Hylomyscus,Hylomyscus,Hylomyscus simus,F,Juvenile,22.7,238,133,14,20,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
47,14-Nov-18,Dry,Ngeihun,24,836,8.1748,11.08528333,-11.08528333,Mastomys,NA,NA,F,Adult,44.5,265,118,18,24,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,14-Nov-18,Dry,Ngeihun,23,906,8.1748,11.08528333,-11.08528333,Rattus,Rattus,Rattus rattus,M,Adult,67.8,301,31,19,31,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
49,14-Nov-18,Dry,Ngeihun,25,989,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,F,Adult,51.3,246,114,18,24,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0.836221342,0.02958151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
50,14-Nov-18,Dry,Ngeihun,23,829,8.1748,11.08528333,-11.08528333,Hylomyscus,Hylomyscus,Hylomyscus simus,F,Juvenile,17.3,247,119,14,19,FALSE,3,5,TRUE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
51,15-Nov-18,Dry,Ngeihun,43,503,8.1748,11.08528333,-11.08528333,Mastomys,NA,NA,M,Adult,76.7,278,126,18,24,NA,NA,NA,NA,TRUE,2,11.44728683,FALSE,21.51309126,FALSE,FALSE,FALSE,0,0,FALSE,1.90249705,0,TRUE,84.34916794,6.206770585,FALSE,13.89544135,0.835964655,FALSE,3.695508974,0.283329685,TRUE
52,15-Nov-18,Dry,Ngeihun,23,813,8.1748,11.08528333,-11.08528333,Praomys,Praomys,Praomys rostratus,M,Sub_adult,29.6,254,135,17,25,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
53,15-Nov-18,Dry,Ngeihun,43,19,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,F,Sub_adult,38.5,233,108,18,24,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0.453681552,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
54,15-Nov-18,Dry,Ngeihun,25,154,8.1748,11.08528333,-11.08528333,Mastomys,NA,NA,M,Sub_adult,28.3,231,112,17,24,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
55,15-Nov-18,Dry,Ngeihun,24,838,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,F,Adult,41.5,255,114,18,24,FALSE,NA,NA,FALSE,TRUE,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,15.34354286,0.864910009,FALSE,26.65021661,5.069541075,FALSE,1.901448159,0,FALSE
56,15-Nov-18,Dry,Ngeihun,8,194,8.1748,11.08528333,-11.08528333,Rattus,Rattus,Rattus rattus,F,Adult,81.3,303,176,21,32,FALSE,5,4,TRUE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0.283835455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
57,15-Nov-18,Dry,Ngeihun,32,501,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,M,Adult,59.1,268,119,18,24,NA,NA,NA,NA,TRUE,3,23.46140537,FALSE,261.027339,TRUE,TRUE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
58,15-Nov-18,Dry,Ngeihun,32,405,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,F,Sub_adult,28.2,217,101,17,24,FALSE,NA,NA,FALSE,TRUE,2,NA,FALSE,415.4884126,TRUE,TRUE,FALSE,0,0,FALSE,4.49296431,0,TRUE,378.7465886,44.86487242,FALSE,12.14144386,1.225638749,FALSE,2.320412497,0,TRUE
59,15-Nov-18,Dry,Ngeihun,32,3,8.1748,11.08528333,-11.08528333,Rattus,Rattus,Rattus rattus,F,Adult,42.5,287,147,18,33,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
60,15-Nov-18,Dry,Ngeihun,13,898,8.1748,11.08528333,-11.08528333,Rattus,Rattus,Rattus rattus,F,Adult,82.9,306,189,22,35,FALSE,6,10,TRUE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0.283835455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
61,16-Nov-18,Dry,Ngeihun,32,875,8.1748,11.08528333,-11.08528333,Hylomyscus,Hylomyscus,Hylomyscus simus,F,Juvenile,18.4,203,111,13,17,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0.283835455,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
62,16-Nov-18,Dry,Ngeihun,35,1,8.1748,11.08528333,-11.08528333,Rattus,Rattus,Rattus rattus,F,Sub_adult,31.5,263,152,21,31,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
63,16-Nov-18,Dry,Ngeihun,32,948,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,M,Adult,50.7,243,109,17,24,NA,NA,NA,NA,TRUE,5,242.5819957,TRUE,1373.98179,TRUE,TRUE,FALSE,0.807997295,0,FALSE,6.493533576,3.156877575,FALSE,3.78827125,0.487810076,FALSE,8.349119096,0.974574253,NA,NA,NA,FALSE
64,16-Nov-18,Dry,Ngeihun,32,3,8.1748,11.08528333,-11.08528333,Rattus,Rattus,Rattus rattus,M,Adult,148.6,308,200,22,34,NA,NA,NA,NA,FALSE,0,2.493349579,FALSE,NA,FALSE,FALSE,FALSE,1.447664792,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
65,17-Nov-18,Dry,Ngeihun,36,885,8.1748,11.08528333,-11.08528333,Mastomys,Mastomys,Mastomys natalensis,F,Sub_adult,32.6,235,111,16,24,FALSE,NA,NA,FALSE,TRUE,3,NA,NA,NA,NA,NA,FALSE,0,0,FALSE,3.985603993,0.215623985,FALSE,20.78880738,0.554151566,FALSE,152.2044287,11.1701834,FALSE,0,0,FALSE
66,29-Nov-18,Dry,Pandembu,6,616,8.21426667,11.06596667,-11.06596667,Mastomys,Mastomys,Mastomys natalensis,F,Adult,49.8,256,113,17,24,FALSE,6,9,TRUE,FALSE,0,12.5245593,FALSE,2.290810266,FALSE,FALSE,FALSE,1.447664792,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
67,29-Nov-18,Dry,Pandembu,6,842,8.21426667,11.06596667,-11.06596667,Mastomys,Mastomys,Mastomys natalensis,M,Juvenile,14.5,114,80,16,25,NA,NA,NA,NA,FALSE,0,1.309440171,FALSE,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,29-Nov-18,Dry,Pandembu,6,195,8.21426667,11.06596667,-11.06596667,Mastomys,Mastomys,Mastomys natalensis,F,Adult,83.9,289,125,18,27,TRUE,4,12,TRUE,FALSE,0,41.30746713,TRUE,244.5941668,TRUE,TRUE,FALSE,1.447664792,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
69,29-Nov-18,Dry,Pandembu,6,1006,8.21426667,11.06596667,-11.06596667,Rattus,Rattus,Rattus rattus,M,Adult,100.7,304,174,21,31,NA,NA,NA,NA,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
70,29-Nov-18,Dry,Pandembu,6,842,8.21426667,11.06596667,-11.06596667,Mastomys,Mastomys,Mastomys natalensis,F,Juvenile,14.9,175,82,14,23,FALSE,NA,NA,FALSE,FALSE,0,3.557651421,FALSE,NA,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
71,29-Nov-18,Dry,Pandembu,1,840,8.21426667,11.06596667,-11.06596667,Rattus,Rattus,Rattus rattus,F,Sub_adult,35.9,264,133,18,29,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,NA,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
72,29-Nov-18,Dry,Pandembu,14,926,8.21426667,11.06596667,-11.06596667,Rattus,Rattus,Rattus rattus,F,Adult,94.6,305,183,22,34,FALSE,NA,NA,FALSE,FALSE,0,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
73,29-Nov-18,Dry,Pandembu,14,419,8.21426667,11.06596667,-11.06596667,Rattus,Rattus,Rattus rattus,F,Sub_adult,38.6,258,131,18,28,FALSE,NA,NA,FALSE,FALSE,0,NA,FALSE,NA,FALSE,FALSE,FALSE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
